time,symbol,type,entry,exit,qty,pnl,note
2025-07-29 20:00:00+00:00,ETHUSDT,EXIT,3762.698471,3792.651863,0.1841987934759765,5.517378666912948,CLOSE_BY_SIGNAL
2025-07-30 00:00:00+00:00,ETHUSDT,ENTRY_LONG,3818.6152409999995,,0.48637938908737716,0.0,trend long|scale=0.55|regScale=1.00|stopPct=0.0364
2025-07-30 16:00:00+00:00,ETHUSDT,STOP_LONG,3818.6152409999995,3677.591534314286,0.48637938908737716,-68.59102430463479,
2025-08-01 08:00:00+00:00,BTCUSDT,ENTRY_SHORT,115271.058305,,0.05785102377607944,0.0,bear trend short|scale=1.20|regScale=1.00|stopPct=0.0150
2025-08-02 04:00:00+00:00,ETHUSDT,ENTRY_SHORT,3518.104252,,0.4280428572571241,0.0,bear trend short|scale=0.57|regScale=1.00|stopPct=0.0318
2025-08-03 08:00:00+00:00,BTCUSDT,EXIT,115271.058305,113896.33865399999,0.05785102377607944,79.52893921544502,CLOSE_BY_SIGNAL
2025-08-03 16:00:00+00:00,ETHUSDT,EXIT,3518.104252,3497.7890219999995,0.4280428572571241,8.695789095035906,CLOSE_BY_SIGNAL
2025-08-07 20:00:00+00:00,BTCUSDT,ENTRY_SHORT,117436.76839699999,,0.07476991191521454,0.0,chop short z=1.55|scale=1.30|regScale=1.10|stopPct=0.0138
2025-08-08 08:00:00+00:00,ETHUSDT,ENTRY_LONG,3919.1453909999996,,0.5796380997876509,0.0,trend long|scale=0.61|regScale=1.00|stopPct=0.0327
2025-08-08 08:00:00+00:00,BTCUSDT,ENTRY_LONG,116926.57745299999,,0.09167017002855411,0.0,trend long|scale=1.33|regScale=1.00|stopPct=0.0151
2025-08-08 12:00:00+00:00,ETHUSDT,ENTRY_LONG,3955.7463679999996,,0.411549286272161,0.0,trend long|scale=0.69|regScale=0.70|stopPct=0.0259
2025-08-08 16:00:00+00:00,ETHUSDT,PYRAMID_LONG,4062.2082969999997,,0.20679000162174843,0.0,trend long|pyramid#1
2025-08-08 20:00:00+00:00,BTCUSDT,EXIT,117436.76839699999,116709.742422,0.07476991191521454,54.35966811082273,FLIP_CLOSE
2025-08-08 20:00:00+00:00,BTCUSDT,ENTRY_LONG,116709.742422,,0.07590060788462058,0.0,trend long|scale=1.62|regScale=0.70|stopPct=0.0111
2025-08-09 00:00:00+00:00,ETHUSDT,PYRAMID_LONG,4052.225303,,0.2238163615824633,0.0,trend long|pyramid#2
2025-08-09 04:00:00+00:00,ETHUSDT,PYRAMID_LONG,4171.891192,,0.18824369858155265,0.0,trend long|pyramid#3
2025-08-10 00:00:00+00:00,BTCUSDT,EXIT,116709.742422,118464.45,0.07590060788462058,133.18337182995037,CLOSE_BY_SIGNAL
2025-08-10 00:00:00+00:00,BTCUSDT,PYRAMID_LONG,118535.55,,0.05348569407570516,0.0,trend long|pyramid#1
2025-08-10 12:00:00+00:00,BTCUSDT,PYRAMID_LONG,118850.6445,,0.04833205055020164,0.0,trend long|pyramid#2
2025-08-10 12:00:00+00:00,ETHUSDT,EXIT,3955.7463679999996,4216.674618,0.411549286272161,107.38483505574415,CLOSE_BY_SIGNAL
2025-08-10 20:00:00+00:00,BTCUSDT,PYRAMID_LONG,119329.79820299998,,0.05102068309228398,0.0,trend long|pyramid#3
2025-08-11 00:00:00+00:00,BTCUSDT,ENTRY_LONG,121765.508697,,0.06551469712675509,0.0,trend long|scale=1.50|regScale=0.70|stopPct=0.0120
2025-08-11 12:00:00+00:00,BTCUSDT,STOP_LONG,121765.508697,120231.54571220001,0.06551469712675509,-100.49712035282454,
2025-08-11 16:00:00+00:00,BTCUSDT,STOP_LONG,118160.338090741,119083.67560514287,0.24450859774674488,225.76396089336478,
2025-08-11 16:00:00+00:00,BTCUSDT,ENTRY_LONG,119125.02679,,0.0432088614090309,0.0,trend long|scale=1.22|regScale=0.70|stopPct=0.0147
2025-08-11 20:00:00+00:00,BTCUSDT,ENTRY_LONG,118721.60579999999,,0.0556818953520692,0.0,trend long|scale=1.02|regScale=1.00|stopPct=0.0196
2025-08-11 20:00:00+00:00,BTCUSDT,EXIT,119125.02679,118650.39420000001,0.0432088614090309,-20.508333801519118,CLOSE_BY_SIGNAL
2025-08-13 12:00:00+00:00,ETHUSDT,ENTRY_LONG,4665.779314,,0.2251756070347157,0.0,trend long|scale=0.55|regScale=0.70|stopPct=0.0325
2025-08-14 12:00:00+00:00,ETHUSDT,STOP_LONG,4008.3805191201636,4532.0503340357145,1.1984881615734153,627.6120737496292,
2025-08-14 12:00:00+00:00,ETHUSDT,ENTRY_LONG,4620.255661,,0.20473199751604593,0.0,trend long|scale=0.53|regScale=0.70|stopPct=0.0342
2025-08-14 12:00:00+00:00,BTCUSDT,STOP_LONG,118721.60579999999,120058.88402625002,0.0556818953520692,74.46218625065467,
2025-08-14 12:00:00+00:00,ETHUSDT,STOP_LONG,4665.779314,4599.417617785715,0.2251756070347157,-14.943035228905037,
2025-08-14 16:00:00+00:00,ETHUSDT,EXIT,4620.255661,4536.268711000001,0.20473199751604593,-17.194816038780175,CLOSE_BY_SIGNAL
2025-08-17 04:00:00+00:00,BTCUSDT,ENTRY_SHORT,117970.578206,,0.16092012275523213,0.0,bear trend short|scale=2.00|regScale=1.00|stopPct=0.0090
2025-08-17 08:00:00+00:00,BTCUSDT,EXIT,117970.578206,118343.50240299999,0.16092012275523213,-60.01100755963407,CLOSE_BY_SIGNAL
2025-08-17 12:00:00+00:00,ETHUSDT,ENTRY_LONG,4563.3585969999995,,0.35857585925545676,0.0,trend long|scale=0.70|regScale=0.70|stopPct=0.0257
2025-08-17 16:00:00+00:00,ETHUSDT,STOP_LONG,4563.3585969999995,4443.5605318,0.35857585925545676,-42.95669416623111,
